"CUS_ID","F20-","F30","F40+","M20-","M30","M40+"
2501,0.059290811,1.174011763,0.069857712,0.030036934,0.100035292,0.048986146
2502,0.054932605,0.21211032,0.197068314,0.050392514,0.365131901,0.278135949
2504,0.244768976,0.150941552,0.075517503,0.356994785,0.195142613,0.176236191
2505,0.023755406,0.152062039,0.090456852,0.059242725,0.282759255,0.459741464
2506,0.006919794,0.334269653,0.028734875,0.004463789,0.181112018,0.08812848
2511,0.086231988,0.026968946,0.044381512,0.163844522,0.031995484,0.021873173
2512,0.070191569,0.275865128,0.038331061,0.163642414,0.362310512,0.081203098
2514,0.010154814,0.134045601,0.033564712,0.025139527,0.079327148,0.04347664
2518,0.277177127,0.196205937,0.061264613,0.028652028,0.066143994,0.041572136
2519,0.012304622,0.478722042,0.005226661,0.001834919,0.041178191,0.009399221
2520,0.021542864,0.139374637,0.009883512,0.044784707,0.740656116,0.125775912
2521,0.02480494,0.026974813,0.319783406,0.033171065,0.058628732,0.618837101
2522,0.042978061,0.096816638,0.126224126,0.041233361,0.081380892,0.028901292
2523,0.098924056,0.868915195,0.100928279,0.01158195,0.29030653,0.141917515
2524,0.088108495,0.160003428,0.154786877,0.067768654,0.185476232,0.36315691
2525,0.070037189,0.089930638,0.146103501,0.275483931,0.509194318,0.117809969
2527,1.213752908,0.208332208,0.074420593,0.061903792,0.108106046,0.066842807
2528,0.007954916,0.017638217,0.014819337,0.046099328,0.192667212,0.69230608
2529,0.061161962,0.07532904,0.414528985,0.098735498,0.150331828,0.421750418
2531,0.084930143,0.130067981,0.182581954,0.034865791,0.222726732,0.22636715
2532,0.041948741,0.155488549,0.172724233,0.10726641,0.294851307,0.401419357
2534,0.659344942,0.24280708,0.095002987,0.336828939,0.19309809,0.075810423
2537,0.021157276,0.283701302,0.05384296,0.004559018,0.056212299,0.029972759
2538,0.627907877,0.185540011,0.041748693,0.095618184,0.26385498,0.060589975
2539,0.050756744,0.255523401,0.089373459,0.034103034,0.213492417,0.088953354
2540,0.39765793,0.134015231,0.02968544,0.047699268,0.1100172,0.030874477
2541,0.108369106,0.063390934,0.025708668,0.344344529,0.323056276,0.084936135
2545,0.010551348,0.197359663,0.021455489,0.005473179,0.37358918,0.211851766
2546,0.04539536,0.037998225,0.014835946,0.432183445,0.381184409,0.049000871
2548,0.07404125,0.053540825,0.0453832,0.438276592,0.196780413,0.043440663
2549,0.010467569,0.027813902,0.047030918,0.070316813,0.36410959,0.443669165
2550,0.012850674,0.027394855,0.0148865,0.262255061,0.594385148,0.116759017
2551,0.087301592,0.322658535,0.116160453,0.198643332,0.287320429,0.309179735
2552,0.062437818,0.380378809,0.100936255,0.042440392,0.12963823,0.190416631
2553,0.232893943,0.040996713,0.016631153,0.04908185,0.031041023,0.003523126
2554,0.02924478,0.096859705,0.03444236,0.148351984,0.569837315,0.137409523
2556,0.035339367,0.188707843,0.390222858,0.051042069,0.304142112,0.186789042
2558,0.024978298,0.065293556,0.750194901,0.060144189,0.135814685,0.086440948
2560,0.009203755,0.039461663,0.045849969,0.013824016,0.124947544,0.731197885
2561,0.008993766,0.068276866,0.099173647,0.018704762,0.07342161,0.739489659
2563,0.203081722,0.434258856,0.428255152,0.152725049,0.102421348,0.09456318
2565,0.010593626,0.068660629,0.066704946,0.048691684,0.292392763,0.604670832
2568,0.023748712,0.073294141,0.062657459,0.020135289,0.179597227,0.506068605
2569,0.01456367,0.049002137,0.156133476,0.02780522,0.22369142,0.573993931
2570,0.010716486,0.483831834,0.016323187,0.006458157,0.093649719,0.037942079
2571,0.308299032,0.159086751,0.063686429,0.270748753,0.314410726,0.162513195
2572,0.098508901,0.087349527,1.252963149,0.09179581,0.087580691,0.236325955
2573,0.031182671,0.241563925,0.028815091,0.027193156,0.195092282,0.095608671
2575,0.043655612,0.049289554,0.02786643,0.213998445,0.631263955,0.077492494
2578,0.00113213,0.004920947,0.019450435,0.006086029,0.066532612,0.894382793
2579,0.293962011,0.115780267,0.492480719,0.031945864,0.053248045,0.137835707
2582,0.033768309,0.390703152,0.035399194,0.040361612,0.2473797,0.021129889
2583,0.051868573,0.594268821,0.189127455,0.025773972,0.226459167,0.083050017
2584,0.190181809,0.499761934,0.033043383,0.023663333,0.12959053,0.019996988
2586,0.096613999,0.23048035,0.221355543,0.056993534,0.180274572,0.265539673
2587,0.140606265,0.070695433,0.050941499,0.166291249,0.28675203,0.134329693
2589,0.040397555,0.120721947,0.03088818,0.060063562,0.556912127,0.231916681
