"CUS_ID","M40+","F20-","M30","F40+","F30","M20-"
1,0.292865789683714,0.165050561959177,0.0338151735803567,0.178507806872072,0.124972812185452,0.204787855719229
2,0.094644049582528,0.184986733343527,0.185543965027567,0.137001912008867,0.239608530063261,0.158214809974251
3,0.0930518330563359,0.105952451424281,0.23773313751389,0.14175352657453,0.269393770153416,0.152115281277547
4,0.14571003100813,0.280857335731013,0.220330513917797,0.104900179822179,0.0815586030127342,0.166643336508146
5,0.309261334832008,0.229696051086361,0.111106249860214,0.191452934047498,0.0592805366310275,0.099202893542891
6,0.174780931746314,0.0145256663171192,0.188688572149068,0.261949664879397,0.192003745474782,0.168051419433319
7,0.336400247416751,0.235325269891864,0.121728563643965,0.194437342599606,0.0541678252901266,0.0579407511576878
8,0.0911029791294022,0.147245955169712,0.26197427507637,0.169175104357252,0.189094339378973,0.141407346888291
9,0.190870377861093,0.181275529779644,0.129298636521327,0.136263479184296,0.198308754076939,0.163983222576702
10,0.31241035851889,0.325226197663572,0.0336769875797308,0.115237500730727,0.0259916793531637,0.187457276153916
11,0.17640590223343,0.422622261290999,0.127673698024802,0.000396867596858367,0.112539792204095,0.160361478649816
12,0.304660190819893,0.0940042712773444,0.183282028990335,0.258898069076126,0.0972137897686284,0.0619416500676734
13,0.385110910365595,0.153944786808409,0.00699348533267861,0.268470188691264,0.11911706942877,0.0663635593732836
14,0.022476851383909,0.222760409487009,0.293202392822699,0.0810355532630671,0.258131693255861,0.122393099787455
15,0.0639529287452657,0.177265477341962,0.332664464256665,0.167340339876987,0.223760331579033,0.0350164582000878
16,0.204543278294184,0.158048957504281,0.16766265290799,0.220033974582858,0.205722762893987,0.0439883738167001
17,0.150611626902837,0.266554187869459,0.259760287488328,0.0614938536946742,0.19142363634389,0.0701564077008124
18,0.227793975457107,0.160894596808181,0.177334447003742,0.264810414201058,0.103094354506094,0.0660722120238171
19,0.291044374169598,0.291272325036229,0.114732675837067,0.167148212810412,0.0652855909117948,0.0705168212348986
20,0.213063707916846,0.212179558925426,0.187059938094895,0.214978882868356,0.0802008234858983,0.0925170887085787
21,0.139837808429695,0.265969290922313,0.235824191260908,0.247236351021936,0.0183451810746994,0.0927871772904487
